protocol,well_id,fold,n_points,prefix_len,suffix_len,gr_missing_frac,rmse_default,rmse_candidate,sse_default,sse_candidate,delta_rmse,delta_sse,improved,degraded,unchanged,availability
unseen_well,,,,,,,14.423,14.419,,,-0.0039999999999995595,,,,,UNAVAILABLE_per_well — only owner global RMSE is known; re-run analysis on particle_beam_wells.csv to populate
same_well_masked,,,,,,,29.486,29.388,,,-0.09799999999999898,,,,,UNAVAILABLE_per_well — only owner global RMSE is known; re-run analysis on particle_beam_wells.csv to populate
