protocol,metric,resampling_unit,n_wells,n_bootstrap,observed_delta,bootstrap_mean,ci_low_2.5,ci_high_97.5,frac_bootstrap_negative,frac_bootstrap_positive,ci_excludes_zero,strongly_negative_ci,availability,note
same_well_masked,global_point_rmse_delta,well,770,0,-0.09799999999999898,,,,,,,,UNAVAILABLE — bootstrap requires per-well SSE/n_points; observed_delta is the owner global RMSE difference only,delta = ridge_particle_beam − ridge_default; negative favours the candidate
same_well_masked,mean_well_rmse_delta,well,770,0,,,,,,,,,UNAVAILABLE — bootstrap requires per-well SSE/n_points; observed_delta is the owner global RMSE difference only,delta = ridge_particle_beam − ridge_default; negative favours the candidate
unseen_well,global_point_rmse_delta,well,770,0,-0.0039999999999995595,,,,,,,,UNAVAILABLE — bootstrap requires per-well SSE/n_points; observed_delta is the owner global RMSE difference only,delta = ridge_particle_beam − ridge_default; negative favours the candidate
unseen_well,mean_well_rmse_delta,well,770,0,,,,,,,,,UNAVAILABLE — bootstrap requires per-well SSE/n_points; observed_delta is the owner global RMSE difference only,delta = ridge_particle_beam − ridge_default; negative favours the candidate
